"Save Cart is disabled.","Save Cart is disabled."
"The current customer isn't authorized.","The current customer isn't authorized."
"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"""token"" value should be specified","""token"" value should be specified"
"""cart_id"" value should be specified","""cart_id"" value should be specified"
"""cart_name"" value should be specified","""cart_name"" value should be specified"
"""item_id"" value should be specified","""item_id"" value should be specified"
